,Delta 1,Porcentual Welfare Changes
0,0.0,-7.3621718380106405
1,0.05263157894736842,-6.524131045764062
2,0.10526315789473684,-5.721900668660724
3,0.15789473684210525,-4.956819349574658
4,0.21052631578947367,-4.2276721801106945
5,0.2631578947368421,-3.5364215361553017
6,0.3157894736842105,-2.881586995693625
7,0.3684210526315789,-2.264405600270033
8,0.42105263157894735,-1.6845019885216288
9,0.47368421052631576,-1.1407122027308316
10,0.5263157894736842,-0.6366048373653396
11,0.5789473684210527,-0.17329386758352505
12,0.631578947368421,0.24907606925713516
13,0.6842105263157895,0.632380277941925
14,0.7368421052631579,1.002143457928877
15,0.7894736842105262,1.3372927439270574
16,0.8421052631578947,1.6295069874037882
17,0.8947368421052632,
18,0.9473684210526315,
19,1.0,
