,Delta 2,Porcentual Welfare Changes
0,0.0,-1.221636231317065
1,0.05263157894736842,-1.080338774983386
2,0.10526315789473684,-0.9445980808230932
3,0.15789473684210525,-0.8145128344964686
4,0.21052631578947367,-0.6899653664512821
5,0.2631578947368421,-0.5695896046539057
6,0.3157894736842105,-0.4520220330459798
7,0.3684210526315789,-0.33390945013253615
8,0.42105263157894735,-0.21708934599756355
9,0.47368421052631576,-0.10152909811927567
10,0.5263157894736842,
11,0.5789473684210527,
12,0.631578947368421,
13,0.6842105263157895,
14,0.7368421052631579,
15,0.7894736842105262,
16,0.8421052631578947,
17,0.8947368421052632,
18,0.9473684210526315,
19,1.0,
