,Valor Exento,Porcentual Welfare Changes
0,0,12.050225741273568
1,2,7.23397074427091
2,4,2.967364329316378
3,6,2.6477922995212655
4,8,3.275606842139114
5,10,3.1531379573078
6,12,2.7724661112139857
7,14,2.2868236956353933
8,16,1.7801440633519865
9,18,1.213450557881982
10,20,0.6458718414461695
11,22,0.0
12,24,-0.42629253269309775
13,26,-0.9230262425138459
14,28,-1.3821271735589227
15,30,-1.8225808223166011
16,32,-2.232564443145033
17,33,-2.4316754335493984
