,comuna1,comuna,delta2,L,w,PI,PI_Wr,f,ip,welfare
0,1101,IQUIQUE,0.0,202964.635521343,5994286.685328977,1.3691082044201333,0.0002913261249027973,7.313618539220043e-08,6.775274490462007e-07,0.000658483978444158
1,1107,ALTO HOSPICIO,0.0,116530.37348475977,4845878.249287444,0.9911233224280277,0.000290818310979294,2.779366442149967e-07,5.686175735189505e-08,0.0006584839784441566
2,1401,POZO ALMONTE,0.0,14234.56676933076,5765065.509234621,0.7485799672160949,0.0002907982577416308,4.024291005549112e-08,5.658515394993158e-08,0.0006584839784441571
3,1402,CAMINA,0.0,1218.1198777083252,3275302.734471068,0.42998720969746607,0.0002853213791341611,2.970953188504283e-08,2.669691962262009e-10,0.0006584839784441576
4,1404,HUARA,0.0,2869.4894942445626,3710078.246294088,0.5645208493409088,0.00028928092771700277,3.1774776596555775e-08,7.051290666372247e-09,0.0006584839784441573
5,1405,PICA,0.0,6613.855676422256,5457762.778652712,0.7842385595062454,0.0002908980479496227,3.0292156865390124e-08,5.7942516883852824e-08,0.0006584839784441575
6,2101,ANTOFAGASTA,0.0,393891.2201006788,7942381.8198163835,1.7474700096534659,0.0003062571009617271,1.5744472427258245e-07,1.4898647247071656e-06,0.0006584839784441581
7,2103,SIERRA GORDA,0.0,3200.3279136345805,5577842.114835802,0.8515658391780648,0.00030415001321582226,2.8242268844352834e-08,8.678780384672612e-08,0.0006584839784441576
8,2104,TALTAL,0.0,13111.329024130704,5549910.6948956065,0.8946742806838067,0.00031532066015984363,4.3376531617783736e-08,2.1694859528850058e-08,0.0006584839784441576
9,2201,CALAMA,0.0,193814.57462917358,7318915.718295309,1.3226794890374904,0.00029871768148563387,1.6193539824907807e-07,3.229727346803538e-07,0.0006584839784441487
10,2203,SAN PEDRO DE ATACAMA,0.0,7723.691470784828,5492027.615407417,0.7960859287145218,0.0002960777480509603,3.364716569237533e-08,3.150988079859614e-08,0.0006584839784441577
11,2301,TOCOPILLA,0.0,27339.133568795067,5549193.685070928,0.8714502761805712,0.000299274176762748,7.824116969832976e-08,3.361611382185407e-08,0.0006584839784441578
12,2302,MARIA ELENA,0.0,4809.751744041846,6222057.269545476,0.8736773785884641,0.00029940580184884387,2.7053589023891368e-08,4.9014942929278504e-08,0.000658483978444157
13,3101,COPIAPO,0.0,182271.0300108145,6969328.562238888,1.3509563602489705,0.00032629472300732635,2.3806460822776138e-07,2.6925600880173324e-07,0.0006584839784441568
14,3102,CALDERA,0.0,18086.46983172172,4952040.241254315,0.9691678529344565,0.00032407122956095276,5.1061108320093557e-08,3.585324590547189e-08,0.0006584839784441576
15,3103,TIERRA AMARILLA,0.0,17820.889603761832,4873785.12078531,0.869490217217158,0.00032647670115069807,3.9770255205326534e-08,9.50164473673343e-08,0.0006584839784441579
16,3201,CHANARAL,0.0,13525.107597139251,4968106.260549504,0.8337847668355565,0.000320471228629821,4.5773670201730575e-08,2.506681599660742e-08,0.0006584839784441576
17,3202,DIEGO DE ALMAGRO,0.0,14510.407290745456,7230760.762205361,0.9915939137854523,0.00032080532322985886,3.6448024142036206e-08,4.6570632081408425e-08,0.0006584839784441577
18,3301,VALLENAR,0.0,51636.05588861937,5568943.649100226,1.0804704066585231,0.00033157021178788096,1.2693696966169678e-07,4.712697475629168e-08,0.0006584839784441567
19,3302,ALTO DEL CARMEN,0.0,6211.3266049317135,4100589.926665145,0.6545660832769703,0.0003301826918350925,3.881774074237606e-08,3.368818141321452e-09,0.0006584839784441578
20,3304,HUASCO,0.0,10441.450877218987,5275585.964625216,0.8298910070496357,0.0003298078345781956,3.878793441587992e-08,3.691574624134532e-08,0.0006584839784441576
21,4101,LA SERENA,0.0,241457.27446970422,6769740.153982645,1.5599354191902184,0.0003383912826989341,1.9541558671484468e-07,4.4660843903432765e-07,0.0006584839784441613
22,4102,COQUIMBO,0.0,238574.5866491381,4629547.5249771755,1.4519479970804934,0.00033895514930012375,4.211912689560513e-07,2.769431365026919e-07,0.000658483978444161
23,4103,ANDACOLLO,0.0,11408.901964901537,4441701.181438975,0.8140487565422523,0.0003384809268752615,4.271782447741654e-08,2.1265987113536117e-08,0.0006584839784441573
24,4104,LA HIGUERA,0.0,4600.782071486901,3632447.8653029506,0.7126294442413251,0.000336282755290732,3.287537631227296e-08,1.3508438327140468e-08,0.0006584839784441571
25,4106,VICUNA,0.0,25689.56485964474,4133748.041810412,0.9048159083828768,0.00033609638903753214,8.641923104516052e-08,1.9418867830390693e-08,0.0006584839784441568
