,comuna1,comuna,delta3,L,w,PI,PI_Wr,f,ip,welfare
0,1101,IQUIQUE,0.0,209501.7383866075,6017636.058283421,1.3690799724651597,0.0002916163713860527,6.406197159389254e-08,7.265474774162536e-07,0.0006643984367576179
1,1107,ALTO HOSPICIO,0.0,112494.90944511544,4840107.242564625,0.9911031524725974,0.00029110814327673666,2.512507250047271e-07,7.424215187010073e-08,0.0006643984367576164
2,1401,POZO ALMONTE,0.0,14311.585162085754,5775070.188608711,0.7485644351771481,0.0002910879348431622,3.5249858151685584e-08,6.358790996063052e-08,0.0006643984367576174
3,1402,CAMINA,0.0,1083.6686713340944,3254042.6336307325,0.4299783772406482,0.000285605669613557,2.5944988852315774e-08,4.6466444677007364e-10,0.0006643984367576173
4,1404,HUARA,0.0,2617.64210814689,3686517.5762105766,0.5645093870944661,0.00028956924346113964,2.7832390010703488e-08,7.472635571861003e-09,0.0006643984367576174
5,1405,PICA,0.0,6483.700975560498,5453156.873382386,0.7842223742664509,0.0002911878620065989,2.6533723111505216e-08,6.090470594330554e-08,0.0006643984367576174
6,2101,ANTOFAGASTA,0.0,413923.1995504307,7986076.591320157,1.7474331516399704,0.00030656205441191207,1.3791011111490182e-07,1.6342083960823838e-06,0.0006643984367576181
7,2103,SIERRA GORDA,0.0,3356.7887946738842,5672195.958906827,0.8515478552680726,0.0003044528591608257,2.4738170506865873e-08,9.744512407087752e-08,0.0006643984367576178
8,2104,TALTAL,0.0,12446.121852143171,5535545.108163219,0.8946572907772296,0.00031563541283700507,3.6132008946798e-08,2.587823092643886e-08,0.0006643984367576174
9,2201,CALAMA,0.0,213135.31018232682,7372705.217322623,1.3226515729810295,0.0002990151229097558,1.623619899577008e-07,3.892070125656878e-07,0.0006643984367576068
10,2203,SAN PEDRO DE ATACAMA,0.0,7765.906683561042,5502687.804412051,0.7960684649043724,0.0002963722732927433,2.9472466484830046e-08,3.702889161699159e-08,0.0006643984367576172
11,2301,TOCOPILLA,0.0,25922.767908380076,5534948.749962133,0.8714322465328982,0.0002995723178782162,6.820121199180726e-08,3.8239274318697454e-08,0.0006643984367576172
12,2302,MARIA ELENA,0.0,4819.167550659616,6235679.599002837,0.873659078998442,0.0002997039844810654,2.3696973560589855e-08,5.358111418071372e-08,0.0006643984367576171
13,3101,COPIAPO,0.0,190289.86297960588,6995528.415238576,1.3509330176124663,0.00032662108225966417,2.142012588787249e-07,3.2791601837293394e-07,0.0006643984367576178
14,3102,CALDERA,0.0,18073.044750745295,4957423.228651262,0.9691505918278288,0.0003243951636406308,4.2792075732407e-08,4.529266030495058e-08,0.0006643984367576172
15,3103,TIERRA AMARILLA,0.0,18872.30657118805,4912251.827189223,0.8694750177545432,0.0003268031652764277,3.48358469283413e-08,1.1126876407042538e-07,0.0006643984367576178
16,3201,CHANARAL,0.0,13043.270177983917,4959925.644367136,0.8337694819722986,0.00032079136895726677,3.742012600488116e-08,3.1390597425224304e-08,0.0006643984367576176
17,3202,DIEGO DE ALMAGRO,0.0,14358.577812340025,7231775.031783194,0.9915760223662274,0.000321125905530244,3.192581448867363e-08,5.1248646567695084e-08,0.0006643984367576182
18,3301,VALLENAR,0.0,50114.455797332244,5563443.189913206,1.0804528031109915,0.000331902229485556,1.0992437758541413e-07,6.04167710671079e-08,0.0006643984367576163
19,3302,ALTO DEL CARMEN,0.0,5721.990910632223,4082679.1037501637,0.6545552138095372,0.0003305131993783368,3.2252920263345315e-08,6.515964545044637e-09,0.0006643984367576179
20,3304,HUASCO,0.0,10564.809083432236,5288469.5054665785,0.8298774659080611,0.00033013807816427367,3.397540546325594e-08,4.3873072840652984e-08,0.0006643984367576178
21,4101,LA SERENA,0.0,262784.49380465667,6818176.470661744,1.559912739114497,0.00033873082370696476,1.8420744747923555e-07,5.366834388039642e-07,0.0006643984367576217
22,4102,COQUIMBO,0.0,240102.64976204903,4636234.104507482,1.4519268786168407,0.000339295253792105,3.75901916048122e-07,3.3781276784999e-07,0.0006643984367576224
23,4103,ANDACOLLO,0.0,10758.443834852285,4426778.063305161,0.8140370880622113,0.00033882063897164327,3.5442579553387334e-08,2.5064975622683845e-08,0.0006643984367576178
24,4104,LA HIGUERA,0.0,5117.952007726682,3683865.9995066496,0.7126186073257023,0.0003366199182867321,2.8796435200460394e-08,2.4408809583710977e-08,0.000664398436757617
25,4106,VICUNA,0.0,24235.288977967113,4122120.6683504204,0.9048025433536958,0.00033643353632367224,7.390334763700632e-08,2.618836553430267e-08,0.0006643984367576177
26,4201,ILLAPEL,0.0,29940.34880394109,4613403.266725952,0.9348324199602547,0.00034514654642637995,8.177051884128731e-08,3.1398259385608746e-08,0.0006643984367576173
27,4202,CANELA,0.0,8850.37023392482,3067304.548816852,0.7299102769538771,0.00034491779594528617,3.9806096174523254e-08,1.380707458410721e-08,0.0006643984367576171
28,4203,LOS VILOS,0.0,18903.068303997432,4067782.4586627334,1.012352918490088,0.0003474263202527734,5.461323788840709e-08,3.1629811933113295e-08,0.0006643984367576171
29,4204,SALAMANCA,0.0,27055.496174357937,5164697.9516277285,0.95396804955287,0.0003440672797745468,5.0089924357352675e-08,5.962828325580867e-08,0.0006643984367576177
30,4301,OVALLE,0.0,115892.28025190349,4990150.394232858,1.170893974416257,0.0003412125311872037,2.290466850735714e-07,1.2166557603508632e-07,0.0006643984367576165
31,4302,COMBARBALA,0.0,13294.863331911043,3579671.1281512757,0.7385774553990434,0.00034291931008480187,6.189854668443077e-08,6.054785064743798e-09,0.0006643984367576174
