,comuna1,comuna,delta2,L,w,PI,f,ip,welfare,PI_Wr
108,7107,PENCAHUE,0.625,8837.550763790641,3929886.6691488833,0.7521557005987327,4.084747059949339e-08,8.795113350202349e-09,0.0006664656823932464,0.00035405997963341014
109,7108,RIO CLARO,0.625,13502.185441416412,3541295.0089707496,0.7435929976705231,5.2331687905440995e-08,1.2060729090583378e-08,0.0006664656823932465,0.000354169395923443
110,7109,SAN CLEMENTE,0.625,41929.703079817635,3043782.072227488,0.965003673478123,1.2322119326389375e-07,2.9257712921090186e-08,0.0006664656823932466,0.000353901158570169
111,7110,SAN RAFAEL,0.625,10048.837734131666,4351153.882795833,0.7445925314308683,4.667128950482165e-08,8.239501434953489e-09,0.0006664656823932465,0.00035477669059674185
112,7201,CAUQUENES,0.625,40147.464948040775,4428981.912578604,1.0686830955823494,1.4752547123089e-07,1.8304075182104593e-08,0.0006664656823932466,0.00035319833784996484
113,7202,CHANCO,0.625,8961.052186998455,3665833.9177686735,0.7593170384123722,4.946744710873966e-08,3.2625984959288985e-09,0.0006664656823932465,0.000351648399560573
114,7203,PELLUHUE,0.625,7748.140037103774,3520273.869114356,0.9047967845833179,4.323689457483369e-08,8.004647436269287e-09,0.0006664656823932464,0.00035145141642918114
115,7301,CURICO,0.625,146680.85899359162,5185300.336675052,1.3725165849263712,2.779018667559869e-07,2.012621867164662e-07,0.0006664656823932463,0.0003546359075247407
116,7302,HUALANE,0.625,10207.758856181286,4999176.39026917,0.8057481524706533,5.35624483509618e-08,6.36186773251384e-09,0.0006664656823932465,0.00035347715793606645
117,7303,LICANTEN,0.625,7252.210428366132,4653346.119647112,0.876482684592248,3.900529912155529e-08,1.0681575728949129e-08,0.0006664656823932464,0.00035273392415343334
118,7304,MOLINA,0.625,42548.100456715096,4394536.696880154,1.0679801433809226,1.21044470763681e-07,4.525291228687702e-08,0.0006664656823932468,0.0003545796127910155
119,7305,RAUCO,0.625,10186.238951481242,3535610.9010502626,0.7824701422092657,4.780743247370286e-08,1.1615465833832678e-08,0.0006664656823932465,0.0003522687848772008
120,7306,ROMERAL,0.625,15356.908682492725,4049270.7457726276,0.9426578408707719,3.9760350777474495e-08,3.274622479378683e-08,0.0006664656823932466,0.0003545538270680866
121,7307,SAGRADA FAMILIA,0.625,19664.723855233555,4106551.0067290785,0.88258402149155,5.1344307395725066e-08,3.3047391553541875e-08,0.0006664656823932467,0.00035428176465675677
122,7308,TENO,0.625,28671.84565841684,4300111.671773856,0.9770387843150339,7.871853803557758e-08,2.696612537630207e-08,0.0006664656823932468,0.0003547558573217844
123,7309,VICHUQUEN,0.625,5119.960537598664,5153741.85512166,0.9607448293640738,3.1152447971564016e-08,3.352231191530464e-08,0.0006664656823932465,0.00035279465017435
124,7401,LINARES,0.625,91336.8051976458,4283228.170741693,1.2671327012435913,2.201484823937953e-07,8.553164409308246e-08,0.0006664656823932466,0.0003542678024427444
125,7402,COLBUN,0.625,19538.121299486014,3878374.2324109618,0.9054708189902235,6.588195824458173e-08,2.2505913356915893e-08,0.0006664656823932465,0.0003536894255199778
126,7403,LONGAVI,0.625,29427.31381169771,2954439.760646912,0.8461885637159423,1.0039372985296128e-07,7.92307025951895e-09,0.0006664656823932465,0.0003543194463766512
127,7404,PARRAL,0.625,38416.84043204734,4030339.3704231507,1.073563584964953,1.1918438928576267e-07,3.126355742751897e-08,0.0006664656823932467,0.0003540978120925812
128,7405,RETIRO,0.625,19694.423544529203,3480091.4059769996,0.7920041940034691,7.246586235655214e-08,1.1017592563836903e-08,0.0006664656823932464,0.00035042521601025826
129,7406,SAN JAVIER,0.625,41194.81667103116,4591837.888171457,1.0439536340307871,1.38447385333829e-07,2.646740993148052e-08,0.0006664656823932464,0.00035450829748580673
130,7407,VILLA ALEGRE,0.625,15278.986719867113,3817521.1890049656,0.8599658330764691,7.190310902158923e-08,5.6597862265951525e-09,0.0006664656823932466,0.00035447116728257573
131,7408,YERBAS BUENAS,0.625,18390.4367905774,3809716.5003918777,0.8285449800210194,5.966271457270988e-08,1.9780249365631383e-08,0.0006664656823932464,0.0003542612452340367
132,8101,CONCEPCION,0.625,229240.69015688752,5931653.423568506,1.6978122804629134,1.1002339133431932e-07,7.316151893374048e-07,0.0006664656823932467,0.000351373077300718
133,8102,CORONEL,0.625,117476.25177536928,4684994.623437591,1.221871270472015,2.5080726546954566e-07,1.5570586205149477e-07,0.0006664656823932464,0.0003506643157624405
134,8103,CHIGUAYANTE,0.625,101273.09134987809,5801632.90693247,1.292754615780054,2.1546850064202304e-07,7.519643947852341e-08,0.0006664656823932417,0.0003509501253104152
135,8104,FLORIDA,0.625,8745.026826495241,3487037.9408849753,0.7212048395570885,4.778954988979068e-08,3.766630310641383e-09,0.0006664656823932464,0.00035176523362537244
136,8105,HUALQUI,0.625,26251.235024552807,3455631.78552738,0.8520384858757225,8.994030529440281e-08,1.4207813629464406e-08,0.0006664656823932462,0.0003503915454785174
137,8106,LOTA,0.625,47249.013813616664,4164606.2031944105,0.9225864208748035,1.560981308313283e-07,2.2562768846167717e-08,0.0006664656823932469,0.0003503398738985067
138,8107,PENCO,0.625,52118.52890629257,3940346.6734041423,1.0894255460820113,1.199224183418993e-07,5.465893411156895e-08,0.0006664656823932463,0.00035141954248222646
139,8108,SAN PEDRO DE LA PAZ,0.625,139639.977418289,8072344.675683041,1.4496634222081128,2.0847650191902605e-07,2.0073216998151145e-07,0.0006664656823932429,0.0003511511354397451
140,8109,SANTA JUANA,0.625,13744.422967363638,4414952.278170022,0.8292585891400006,6.442441187715408e-08,4.517008841676342e-09,0.0006664656823932463,0.00035041390393116825
141,8110,TALCAHUANO,0.625,178955.0052720462,5869319.988711238,1.6167394097493886,1.7651409718176427e-07,4.7462121868299916e-07,0.0006664656823932467,0.00035102086116825927
142,8111,TOME,0.625,55830.22600954027,4305045.717088634,1.100509996666608,1.5358150790263043e-07,3.241826613844061e-08,0.0006664656823932457,0.00035167714131130803
143,8201,LEBU,0.625,26677.73093602948,4863891.682894598,0.9422030386058787,1.0083081351067039e-07,8.665134494145467e-09,0.0006664656823932465,0.00034721322813315725
144,8202,ARAUCO,0.625,38444.107691973426,6122603.47941841,0.9541408691996864,1.1588782661037231e-07,2.7644498597546674e-08,0.0006664656823932463,0.00034899706445287563
145,8203,CANETE,0.625,34286.66889921597,4090040.1735046576,0.924143272666786,1.0907414108832674e-07,1.527504857242438e-08,0.0006664656823932462,0.00034804975508942216
146,8204,CONTULMO,0.625,5501.970539730826,3644826.8489078744,0.6876625772840174,4.153071923610058e-08,1.8748017772355883e-09,0.0006664656823932471,0.0003482282115626243
147,8205,CURANILAHUE,0.625,35056.291716796775,4657517.861710274,0.8181882413756747,1.2028662112287793e-07,1.0729757096868745e-08,0.0006664656823932465,0.00034876013445094147
148,8206,LOS ALAMOS,0.625,24259.31150027745,4151653.4402037845,0.7503908466845806,8.9394454279068e-08,5.336957887245939e-09,0.0006664656823932467,0.00034829102301443094
149,8207,TIRUA,0.625,10498.281504324976,3633163.791551127,0.6530741119751419,5.5705895861080776e-08,1.719622953685281e-09,0.0006664656823932464,0.00034658733601668
150,8301,LOS ANGELES,0.625,198067.12557087137,5397949.464507099,1.3940792144233414,3.8762576966227313e-07,2.177942735931239e-07,0.0006664656823932468,0.0003518713828923272
151,8302,ANTUCO,0.625,3907.686299520166,4502109.66932829,0.713493775425982,3.44711963265051e-08,6.0135519967746875e-09,0.0006664656823932465,0.00035043673499608025
152,8303,CABRERO,0.625,29575.33778619518,4382338.671613454,0.9597655932982414,7.902865842546988e-08,3.410941923033298e-08,0.0006664656823932467,0.0003526559411855784
153,8304,LAJA,0.625,24091.786763534907,4026122.41661224,0.953238495849563,8.354610529350317e-08,1.9262025745430798e-08,0.0006664656823932469,0.0003514015526772617
154,8305,MULCHEN,0.625,30474.12681647348,3779612.176848025,0.9324351123619722,1.0421348450852922e-07,1.4240814782864006e-08,0.0006664656823932467,0.0003510425494054825
155,8306,NACIMIENTO,0.625,28555.164391178878,5138427.572148391,0.9817901029923569,7.457308792725965e-08,4.066862268524689e-08,0.0006664656823932465,0.00035102628457381617
156,8307,NEGRETE,0.625,10454.53433852548,3691607.5926190573,0.7400482843626012,4.3724600225520485e-08,1.3992988692692362e-08,0.0006664656823932465,0.0003510554254143419
157,8308,QUILACO,0.625,4081.577279484139,4164536.3117329706,0.6601031580582751,3.6105484721660246e-08,2.8583184786416383e-09,0.0006664656823932464,0.00035058113897135405
158,8309,QUILLECO,0.625,9892.450963181494,4137894.4943686808,0.7265670547828224,5.1155274522619506e-08,4.724928080795036e-09,0.0006664656823932466,0.0003512834078645104
159,8310,SAN ROSENDO,0.625,3898.4229390232235,4518441.452725904,0.6416377885168584,3.859285547364102e-08,8.079124267670847e-10,0.0006664656823932464,0.00035133761725271244
160,8311,SANTA BARBARA,0.625,12830.634392435253,3904013.409200082,0.796054051471026,4.809785835363696e-08,1.7523720559715413e-08,0.0006664656823932468,0.0003507725155322427
161,8312,TUCAPEL,0.625,14528.229821696563,3355464.1326722414,0.817678740358341,6.530838851803512e-08,9.794977663448094e-09,0.0006664656823932463,0.0003520489957362696
