comuna1,comuna,idregion,year,lon,lat,w_mean,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_00,tax_02,tax_04,tax_06,tax_08,tax_10,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,tax_33,h_e_00,h_e_02,h_e_04,h_e_06,h_e_08,h_e_10,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_e_33,h_nex_00,h_nex_02,h_nex_04,h_nex_06,h_nex_08,h_nex_10,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,h_nex_33,cod_sii,comuna_sii,sem,_ID,pobreza,v_arriendo
7201,CAUQUENES,7,2017,-72.28097550317861,-35.971225581938,369091.41,40135,15820,6104161,1613641,422038,157584,261739,7250,8027,1591381.6,15470,176246997815,141603258368,113529028608,89594798080,75958288384,68006871040,62595612672,58380500992,55084822528,52424114176,50208722944,48373460992,46573101056,45568802816,44502155264,43604795392,42825785344,42143076352,41835536384,234,702,5721,9258,11307,12070,12578,12965,13229,13423,13598,13762,13851,13945,14015,14071,14117,14139,15236,14768,9749,6212,4163,3400,2892,2505,2241,2047,1872,1708,1619,1525,1455,1399,1353,1331,7401,CAUQUENES,1,110,20,103063.0816959669
7202,CHANCO,7,2017,-72.48581190344429,-35.69876580359607,305495.53,8958,3198,2172106,305922,52891,17812,97814,6948,1824.7446,1591381.6,2288,16581575297,13407456256,10169777152,7518425600,5827307008,4930128896,4348931072,3953315328,3682664192,3482067968,3329083648,3208829952,3092251904,3028595712,2970364160,2926009600,2888539392,2860441088,2849052928,67,193,623,1152,1376,1487,1570,1612,1637,1659,1674,1683,1691,1701,1706,1710,1714,1715,2221,2095,1665,1136,912,801,718,676,651,629,614,605,597,587,582,578,574,573,7403,CHANCO,1,111,20.37,85931.03448275862
7203,PELLUHUE,7,2017,-72.6082494902976,-35.91148176454897,293363,7745,2953,3432414,543485,139428,41507,138057,445,1500.981,1591381.6,5343,56682256309,52802195456,46791688192,41223041024,36678598656,33319553024,30803474432,28836317184,27312056320,26103074816,25177518080,24437835776,23747244032,23390511104,23013390336,22705262592,22451986432,22233442304,22134026240,78,212,556,1226,1718,2027,2283,2455,2623,2727,2810,2894,2934,2971,3003,3025,3039,3044,5265,5131,4787,4117,3625,3316,3060,2888,2720,2616,2533,2449,2409,2372,2340,2318,2304,2299,7402,PELLUHUE,1,112,19.38,81741.57303370787
7301,CURICO,7,2017,-70.89550828137639,-35.19914639388053,432112.13,146612,62879,18156523,9288017,2291602,3025621,1080032,19744,14441.282,1591381.6,54824,989624501039,898174025728,802928197632,714322542592,639558877184,581288656896,542796152832,520307343360,503704190976,489860923392,478003757056,467586023424,457461366784,451612409856,444949135360,438981525504,433615503360,428773113856,426525884416,635,1349,7064,15080,24009,33873,39033,40951,42122,42786,43716,44613,44915,45260,45588,45866,46099,46227,54189,53475,47760,39744,30815,20951,15791,13873,12702,12038,11108,10211,9909,9564,9236,8958,8725,8597,7101,CURICO,1,135,9.85,155731.0969690433
7302,HUALANE,7,2017,-71.70904287701764,-34.95287011718379,416608.09,10204,3207,2194858,562705,84266,49802,170374,0,2182.6355,1591381.6,3716,24343232343,21241681920,15758877696,11273303040,8602715136,7290254336,6549727744,6093860352,5814375424,5627374080,5492342784,5391919616,5301310976,5252089344,5197121536,5150551040,5108962304,5072408576,5055284224,72,452,1190,2085,2485,2672,2782,2847,2884,2901,2917,2926,2930,2934,2937,2939,2941,2943,3644,3264,2526,1631,1231,1044,934,869,832,815,799,790,786,782,779,777,775,773,7107,HUALANE,1,117,21.39,86617.1003717472
7303,LICANTEN,7,2017,-72.0596938714568,-34.97360370005418,387784.97,7249,2521,2452648,598797,101085,71475,212576,2849,1686.1174,1591381.6,3470,44402682033,38407393280,34293069824,30895144960,28676055040,27135997952,26029998080,25243598848,24665575424,24218673152,23858683904,23550287872,23245727744,23076055040,22883674112,22714572800,22557083648,22411163648,22340974592,99,185,832,1299,1516,1723,1855,1936,1988,2018,2041,2072,2083,2093,2102,2108,2113,2115,3371,3285,2638,2171,1954,1747,1615,1534,1482,1452,1429,1398,1387,1377,1368,1362,1357,1355,7105,LICANTEN,1,120,23.26,106969.696969697
7304,MOLINA,7,2017,-70.91035403114921,-35.35275376333996,366217.84,42531,16309,6039686,2066801,569601,827645,218205,9755,5550.2954,1591381.6,15356,171381755246,152945704960,125726752768,101526274048,87488856064,80648839168,77196328960,74940399616,73269141504,71932329984,70824501248,69926281216,69040242688,68548026368,68007190528,67537489920,67149545472,66817179648,66667704320,253,659,4168,9279,11708,12634,13017,13239,13367,13477,13568,13657,13687,13727,13766,13800,13824,13833,15103,14697,11188,6077,3648,2722,2339,2117,1989,1879,1788,1699,1669,1629,1590,1556,1532,1523,7108,MOLINA,1,139,13.05,90934.36738090286
7305,RAUCO,7,2017,-71.42678117389377,-34.93868594242745,294639.91,10182,3758,2276541,817208,86600,62524,396101,344,1847.0148,1591381.6,3113,20242270692,16793354240,11552794624,7727437824,6386982400,5704890880,5270868480,4938691072,4670399488,4438650368,4243031040,4076721664,3909828608,3819153664,3725099008,3642805760,3568271616,3502895872,3473956096,59,272,1634,2282,2476,2544,2585,2606,2623,2639,2653,2668,2678,2687,2690,2695,2701,2702,3054,2841,1479,831,637,569,528,507,490,474,460,445,435,426,423,418,412,411,7104,RAUCO,1,119,18.14,88852.30813124108
7306,ROMERAL,7,2017,-70.71192039016665,-35.06803985138593,337444.19,15351,5982,2902922,1660248,342531,491147,356286,35251,1794.5319,1591381.6,4091,71625768863,66815643648,60669493248,55179223040,52028264448,50613682176,49733554176,49077444608,48532922368,48090349568,47717433344,47405371392,47083610112,46898880512,46685753344,46491369472,46317408256,46152863744,46075277312,110,286,841,2311,2725,2877,2949,3000,3044,3076,3103,3121,3137,3144,3154,3161,3166,3170,3981,3805,3250,1780,1366,1214,1142,1091,1047,1015,988,970,954,947,937,930,925,921,7103,ROMERAL,1,137,11.69,82201.80168067227
7307,SAGRADA FAMILIA,7,2017,-71.49580706461109,-35.10393751879555,342215.63,19655,7172,3741850,1793325,360584,653374,246813,1557,3079.9385,1591381.6,5138,45402634759,42917904384,35288125440,29486567424,27197313024,26239655936,25717334016,25376104448,25137311744,24945936384,24795838464,24669726720,24542130176,24465682432,24385265664,24310069248,24246001664,24189427712,24162443264,104,537,2223,3388,3727,3854,3929,3959,3980,3996,4008,4014,4020,4025,4030,4033,4037,4038,5034,4601,2915,1750,1411,1284,1209,1179,1158,1142,1130,1124,1118,1113,1108,1105,1101,1100,7109,SAGRADA FAMILIA,1,118,15.67,96449.86449864498
