comuna1,comuna,idregion,year,lon,lat,w_mean,w_low,w_up,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,pob_porcentaje,v_dividendo,v_arriendo
4103,ANDACOLLO,4,2017,-71.10060791440276,-30.25924139464606,370334,302454.1,438214,11555,2371,2545054,1079343,66792,458017,103192,75465,986.797,2086396.9,3849,33961063455,15193589760,15023296512,14906095616,14821543936,14766582784,14723527680,14702038016,14679161856,14660108288,14645334016,14631333888,3503,3534,3554,3569,3582,3590,3591,3593,3595,3597,3597,346,315,295,280,267,259,258,256,254,252,252,8.539999999999999,,120000
4104,LA HIGUERA,4,2017,-70.90156599939246,-29.37538018894122,303791.5,265206.3,342376.6,4727,1462,2797885,1597072,30894,178146,296087,251335,1050.3394,2086396.9,3265,13926328637,2892870656,2876444928,2864688384,2854688256,2846922240,2839739136,2836167680,2834167552,2832167680,2830167552,2828167680,2293,2300,2301,2301,2303,2303,2305,2305,2305,2305,2305,972,965,964,964,962,962,960,960,960,960,960,22.22,,108290.5982905983
4105,PAIGUANO,4,2017,-70.37205517428885,-30.23435853293553,334176.5,269557.5,398795.5,4506,1473,2161840,381948,50608,55426,41044,103048,466.371,2086396.9,2074,15061017763,7323975168,7045023744,6823649792,6651198976,6515790336,6392517632,6325335040,6250878464,6189192704,6137497600,6091924480,1531,1560,1584,1608,1622,1639,1643,1649,1656,1659,1662,543,514,490,466,452,435,431,425,418,415,412,10.35,,
4106,VICUA,4,2017,-70.38226517659591,-29.89176685525064,345300.5,288051.2,402549.8,26874,10366,5144513,1610272,167758,303915,183880,351562,3445.2468,2086396.9,9705,74204384340,32586481664,31479918592,30624768000,29968451584,29426968576,28885737472,28574816256,28233428992,27942656000,27696664576,27478904832,8188,8316,8437,8515,8561,8603,8623,8651,8675,8691,8704,1517,1389,1268,1190,1144,1102,1082,1054,1030,1014,1001,12.82,130000,138864.3829188175
4201,ILLAPEL,4,2017,-70.97081280199414,-31.54923677530486,386119.6,347621.1,424618.1,32931,10972,5023239,1556739,136091,352779,248604,295693,5944.0454,2086396.9,10301,79991200837,28602771456,27863066624,27283617792,26817144832,26453819392,26103607296,25905825792,25693947904,25505869824,25343324160,25192726528,8678,8771,8828,8891,8931,8963,8981,8994,9009,9017,9022,1623,1530,1473,1410,1370,1338,1320,1307,1292,1284,1279,18.05,86110.78717201167,148854.4654809715
4202,CANELA,4,2017,-71.39457547157792,-31.40171019797646,257506.3,214850.5,300162.1,9911,2521,2500166,837364,35224,264097,53544,181514,3098.1787,2086396.9,4061,14232109383,6583148032,6539125760,6506289664,6481103360,6462525440,6447561216,6437927424,6427835904,6419914752,6415796224,6413796352,3258,3265,3268,3272,3275,3277,3277,3278,3280,3282,3282,803,796,793,789,786,784,784,783,781,779,779,31.26,,68344.42595673876
4203,LOS VILOS,4,2017,-71.30383998092584,-31.9780739294607,340405.3,302722.5,378088.1,20391,8010,4961486,1581531,377302,231767,221985,157336,3266.6382,2086396.9,12070,134230861197,78010408960,75632648192,73650429952,72023588864,70697771008,69443420160,68751712256,68012417024,67419684864,66929152000,66511888384,7640,7846,8042,8200,8348,8481,8535,8610,8672,8716,8746,4430,4224,4028,3870,3722,3589,3535,3460,3398,3354,3324,16.02,94593.51620947631,140517.2413793103
4204,SALAMANCA,4,2017,-70.66150688165934,-31.89327813620662,430120.8,352432.1,507809.4,27511,7016,4729195,2587329,175777,1038165,262190,429653,4132.1523,2086396.9,9138,93914481432,46342365184,44669448192,43355586560,42450862080,41836363776,41330417664,41076961280,40822288384,40617521152,40439660544,40279760896,6809,7011,7191,7392,7497,7575,7602,7637,7658,7666,7678,2329,2127,1947,1746,1641,1563,1536,1501,1480,1472,1460,15.02,107988.961038961,149699.0612921038
4301,OVALLE,4,2017,-71.40516530781483,-30.67278536460566,416697.1,344016.3,489377.9,123239,47366,17456278,5720886,925244,1592210,683660,210534,26077.373,2086396.9,40910,413696262298,169844850688,165795053568,163106652160,161089912832,159428689920,157841440768,156961521664,156029648896,155230191616,154537738240,153939492864,31552,32332,32831,33050,33224,33377,33458,33536,33595,33644,33685,9358,8578,8079,7860,7686,7533,7452,7374,7315,7266,7225,21.16,99647.33846016275,183917.9642445213
4302,COMBARBAL,4,2017,-70.96564984676007,-31.14654683525762,300626.2,246436.9,354815.6,15453,3580,2619145,434607,17563,56299,63408,169344,3864.7954,2086396.9,6209,16004559305,1801953024,1765246976,1740454784,1726869376,1720052096,1712868992,1709414400,1706836352,1704836352,1702836352,1700836352,5811,5818,5824,5830,5831,5831,5832,5833,5833,5833,5833,398,391,385,379,378,378,377,376,376,376,376,25.01,,59009.40228341168
4303,MONTE PATRIA,4,2017,-70.65046159411176,-30.83442566416119,322153,291361.1,352945,34072,12001,5192552,899276,91672,115577,151571,166624,10408.996,2086396.9,10966,31864696050,4850515456,4766652928,4712424448,4675153920,4644124672,4617989120,4605993984,4593994240,4583608320,4573607936,4564591616,10235,10252,10266,10269,10273,10277,10281,10281,10282,10282,10283,731,714,700,697,693,689,685,685,684,684,683,30.55,,83296.01990049751
4304,PUNITAQUI,4,2017,-71.3329171657907,-30.94595210374143,321785.4,281614.5,361956.3,10923,3282,2222433,539270,34672,118017,90750,84253,3008.1941,2086396.9,3381,12198775136,1628073088,1531814784,1457313792,1396989312,1352953216,1315709696,1294325120,1278964992,1266286848,1254824704,1244824704,3134,3154,3160,3166,3176,3178,3183,3186,3187,3188,3188,247,227,221,215,205,203,198,195,194,193,193,27.54,,81611.3074204947
4305,RO HURTADO,4,2017,-70.65393813312919,-30.43032395369297,280430.7,214962.7,345898.6,4992,1442,1637160,329673,8296,13445,149699,97021,2240.9087,2086396.9,1889,4609618689,1061878464,1047346304,1037155200,1030020160,1028986560,1028986560,1028986560,1028986560,1028986560,1028986560,1028986560,1741,1742,1745,1747,1749,1749,1749,1749,1749,1749,1749,148,147,144,142,140,140,140,140,140,140,140,44.89,,70000
5101,VALPARASO,5,2017,-71.72412917232712,-33.00708933594986,420085.9,398420.3,441751.5,295927,108964,37651663,24277960,5948446,7033087,1755015,4844,45631.945,2086396.9,107825,3204991405304,1842044731392,1767679197184,1702631571456,1644718063616,1593726074880,1541910953984,1512803401728,1482133340160,1456485302272,1434887520256,1417352183808,45719,51113,55268,58553,61896,66232,68944,71801,73960,76034,78034,62106,56712,52557,49272,45929,41593,38881,36024,33865,31791,29791,15.42,219664.7321296372,173838.4446605482
5102,CASABLANCA,5,2017,-71.43484094094532,-33.31565402726739,368362,323633.1,413090.8,29826,16772,6413244,5120518,1030182,2715614,322201,35626,3024.3564,2086396.9,10972,259962738954,181072707584,176771088384,172996132864,169661825024,166666551296,163388768256,161344569344,158955356160,156705882112,154595639296,152608161792,4942,5273,5510,5714,5865,5970,6046,6125,6198,6265,6316,6030,5699,5462,5258,5107,5002,4926,4847,4774,4707,4656,10.14,153157.0370370371,157176.1006289308
5103,CONCN,5,2017,-71.46740624601395,-32.95158477112356,600191.4,467431.2,732951.8,51533,34909,9885639,8434543,4221452,1101853,782907,909,2782.782,2086396.9,31062,1425999089045,1177627525120,1149370892288,1121850884096,1094840352768,1068591611904,1038210301952,1018489274368,994713731072,972068552704,950750216192,930928132096,2886,3442,3747,4054,4466,4919,5279,5703,6344,7093,7799,28176,27620,27315,27008,26596,26143,25783,25359,24718,23969,23263,5.4,257180.6108897742,224940.2197802198
5105,PUCHUNCAV,5,2017,-71.38774243719131,-32.74509662841401,304722.3,260376.2,349068.5,18484,8346,4577933,3072872,883966,534377,668306,9933,2772.6001,2086396.9,16844,387979393513,280238653440,271297888256,262963904512,255318343680,248215011328,240401399808,235521835008,229945851904,224901709824,220178169856,215828643840,5700,6016,6338,6653,6919,7205,7391,7666,7900,8043,8223,11144,10828,10506,10191,9925,9639,9453,9178,8944,8801,8621,15,146000,124261.3381230355
5107,QUINTERO,5,2017,-71.4729059191567,-32.84189879293427,419483.2,335355,503611.3,28581,11899,8543948,2806876,757268,783620,450282,9343,4527.2305,2086396.9,15920,282349933431,176630480896,171906891776,168101773312,164924997632,162212741120,159442878464,157816946688,155980251136,154322960384,152814354432,151493279744,9202,9732,10126,10387,10588,10788,10880,10981,11059,11141,11220,6718,6188,5794,5533,5332,5132,5040,4939,4861,4779,4700,15.84,94883.14028314028,145354.9480822208
