comuna1,comuna,idregion,year,lon,lat,w_mean,w_low,w_up,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,pob_porcentaje,v_dividendo,v_arriendo
5801,QUILPU,5,2017,-71.25410339721938,-33.14696999598365,536840.5,490527.1,583153.9,173617,70960,17469350,7207448,1812311,1236357,1139824,20492,13837.274,2086396.9,57954,1167595762818,579932585984,532542586880,493738983424,461739851776,435051364352,410104856576,396778012672,383219335168,372619313152,364166152192,357505630208,24552,28959,32950,35778,38233,41456,42817,44449,45620,46663,47423,33402,28995,25004,22176,19721,16498,15137,13505,12334,11291,10531,7.97,219614.3999246137,217351.4257711751
5802,LIMACHE,5,2017,-71.27861627871746,-33.0305105854623,362101.1,334391,389811.2,46022,18773,6667402,2358071,527792,301295,385105,13364,5021,2086396.9,14686,241775123267,113998823424,108344033280,103853809664,100244004864,97176133632,94007984128,92203401216,90211688448,88435138560,86818840576,85352898560,9276,9962,10453,10819,11017,11261,11387,11526,11606,11688,11756,5410,4724,4233,3867,3669,3425,3299,3160,3080,2998,2930,10.91,126509.8235765838,154835.8175750834
5803,OLMU,5,2017,-71.11035316099655,-33.03545747902487,385052.3,303742.6,466362.1,16162,6583,3177133,1240824,507688,90572,239203,5856,3048.1533,2086396.9,7110,158765255949,112384188416,108517236736,105031835648,101866569728,98993086464,95850176512,93921198080,91666382848,89587769344,87663312896,85903982592,2892,3149,3302,3467,3592,3725,3797,3884,3969,4041,4131,4218,3961,3808,3643,3518,3385,3313,3226,3141,3069,2979,18.86,306887.6080691643,208059.7014925373
5804,VILLA ALEMANA,5,2017,-71.32974554229844,-33.06722577645071,490559.3,436072.1,545046.6,145139,63857,13698935,3833798,1045313,385489,610254,998,15704.04,2086396.9,43290,666660858589,268434391040,245546631168,227125346304,212560216064,200991260672,190440325120,184597102592,178213978112,172677005312,167945519104,163867475968,27164,29337,31664,33255,34668,35862,36298,36791,37196,37570,37835,16126,13953,11626,10035,8622,7428,6992,6499,6094,5720,5455,10.82,176515.4454865182,173577.4908908853
6101,RANCAGUA,6,2017,-70.81668412033541,-34.12585924484068,447785.4,426388.1,469182.8,234724,105543,28208409,17623886,4512379,4544090,2646644,17922,30889.678,2086396.9,95103,2348099926392,1220574576640,1149961633792,1096575221760,1054001463296,1018664124416,984755732480,965890736128,946202673152,929876934656,916550123520,905461432320,44966,54322,61186,65176,68695,72003,73841,75678,77334,78569,79544,50137,40781,33917,29927,26408,23100,21262,19425,17769,16534,15559,13.16,137505.0225863156,168650.6603464675
6102,CODEGUA,6,2017,-70.54719297732376,-34.0568472427922,389084.2,342390.8,435777.6,14588,5613,2288180,959182,258781,158053,179341,24423,2064.2019,2086396.9,3349,37580318717,21041981440,20651046912,20355033088,20105918464,19896602624,19691833344,19580067840,19457648640,19353321472,19259451392,19173502976,2519,2578,2611,2626,2647,2665,2679,2686,2693,2699,2701,830,771,738,723,702,684,670,663,656,650,648,14.15,280000,99390.97169089518
6103,COINCO,6,2017,-70.97109997863896,-34.28232169484039,296748.3,268539.4,324957.2,7241,3129,1659305,408633,39766,96950,71163,902,1128.8719,2086396.9,1676,10466394676,2809319424,2590275072,2422208768,2294403072,2189049088,2095852544,2044410112,1995010048,1953489536,1922560000,1896671744,1183,1216,1235,1254,1264,1277,1283,1287,1291,1296,1299,493,460,441,422,412,399,393,389,385,380,377,15.59,30000,80144.78764478765
6104,COLTAUCO,6,2017,-71.07761851440948,-34.25955816542805,379248.2,326121.7,432374.6,20078,6757,2764640,577471,145251,38604,115280,8997,2973.5518,2086396.9,6020,36575560953,7605662720,7040876544,6642594304,6344348672,6108765696,5890065920,5769865728,5644328448,5535415808,5437692416,5359357952,4909,5010,5076,5116,5141,5163,5180,5190,5192,5202,5210,1111,1010,944,904,879,857,840,830,828,818,810,14.81,,107561.832586979
6105,DOIHUE,6,2017,-70.92368206569461,-34.19652161216532,438153.9,386999.8,489308.1,20677,8348,3518126,1095225,122101,487463,161726,3275,2328.2302,2086396.9,5993,65060135621,33264496640,32224466944,31324663808,30563164160,29944612864,29357856768,29037801472,28697047040,28409759744,28146845696,27904843776,4536,4621,4691,4760,4834,4884,4918,4948,4970,4977,4992,1457,1372,1302,1233,1159,1109,1075,1045,1023,1016,1001,11.26,,116837.3751425314
6106,GRANEROS,6,2017,-70.74718843448247,-34.06561647766479,383384,359585.1,407182.8,34677,16627,3772670,1382206,450102,401340,180875,2193,4025.9998,2086396.9,9750,140834304098,69550874624,67968610304,66808360960,65936429056,65338605568,64864739328,64589463552,64297619456,64041779200,63823695872,63639138304,8210,8409,8603,8741,8861,8922,8937,8961,8982,9001,9013,1540,1341,1147,1009,889,828,813,789,768,749,737,11.61,130527.2894971735,125429.722342109
6107,LAS CABRAS,6,2017,-71.33245923648434,-34.16464676101089,316519,291703.4,341334.7,24295,9822,4812360,3146482,560619,1868983,224659,6183,2813.3611,2086396.9,9231,741469493519,674376908800,669956767744,666043613184,662539665408,659320799232,655813312512,653617070080,651044454400,648646098944,646422659072,644390191104,4231,4510,4748,4906,5045,5183,5254,5341,5429,5535,5606,5000,4721,4483,4325,4186,4048,3977,3890,3802,3696,3625,11.58,45000,106942.1305140357
6108,MACHAL,6,2017,-70.31914057912331,-34.32054083629785,660588.9,475521.2,845656.6,54519,17915,6652566,5024734,1860354,823968,610146,221952,3167.554,2086396.9,19905,794506546772,572762554368,549859885056,528357752832,507837251584,488143224832,465390632960,450805760000,433668915200,417665548288,402666815488,388996202496,5296,5936,6616,7048,7405,7823,8180,8765,9312,9854,10757,14609,13969,13289,12857,12500,12082,11725,11140,10593,10051,9148,5.81,290073.0897009967,201413.9885868749
6109,MALLOA,6,2017,-70.87266659522726,-34.47651665451665,352519.8,280171.1,424868.7,13937,6342,2334282,894375,142443,112366,137669,1821,3053.5967,2086396.9,3235,33342134270,17245458432,16944582656,16705664000,16521494528,16372916224,16234704896,16164726784,16086437888,16021069824,15973412864,15942770688,2645,2678,2707,2730,2745,2767,2770,2777,2782,2794,2798,590,557,528,505,490,468,465,458,453,441,437,21.91,,99581.01356174161
6110,MOSTAZAL,6,2017,-70.56895028100679,-33.95554722296851,382477.4,339314.5,425640.3,26931,11948,10091392,8177062,560272,965712,155153,40507,4069.2742,2086396.9,7403,146352671968,101942149120,100541595648,99361316864,98371477504,97534427136,96667787264,96170647552,95636054016,95166300160,94749769728,94400716800,4931,5062,5161,5255,5311,5376,5415,5455,5480,5519,5541,2472,2341,2242,2148,2092,2027,1988,1948,1923,1884,1862,15.11,105878.612716763,111306.0648801128
6111,OLIVAR,6,2017,-70.82179144620639,-34.21264010721374,386842.1,335876.9,437807.3,15489,6302,2249781,973755,167580,248895,212432,1394,2481.3379,2086396.9,3278,41710838710,24127354880,23550357504,23068973056,22671669248,22369536000,22061303808,21879191552,21680306176,21499987968,21337862144,21192822784,2146,2205,2237,2283,2321,2343,2354,2369,2376,2387,2394,1132,1073,1041,995,957,935,924,909,902,891,884,16.02,277796.6101694915,93781.69790518192
6112,PEUMO,6,2017,-71.2221407427171,-34.32922524100344,333772.6,305287.7,362257.5,16273,5938,2280975,790009,168721,283026,128936,3279,1931.6051,2086396.9,3882,31994665999,8954046464,8452859904,8055589888,7723094528,7438894592,7160054784,7008408576,6835305984,6678317056,6541270528,6410924032,3085,3145,3192,3214,3238,3268,3280,3286,3295,3303,3306,797,737,690,668,644,614,602,596,587,579,576,11.87,259089.552238806,101961.1111111111
6113,PICHIDEGUA,6,2017,-71.3390117407491,-34.37163791510689,307891,278393.1,337388.9,20400,8533,2931678,739819,154423,254158,137253,3164,2197.0801,2086396.9,5621,33159061787,8933530624,8446741504,8121380864,7891261952,7731433472,7593068032,7523356672,7459144192,7409048064,7369401856,7333163008,4178,4275,4342,4380,4407,4426,4438,4446,4454,4456,4458,1443,1346,1279,1241,1214,1195,1183,1175,1167,1165,1163,10.77,,75791.09792284867
6114,QUINTA DE TILCOCO,6,2017,-70.99815615059616,-34.35917816025209,422977.8,348669.5,497286.1,13408,4827,2113377,591224,110173,181842,124583,77,2164.0513,2086396.9,3750,24536665671,6768878592,6456528384,6238425600,6072543232,5943868928,5829175808,5769774080,5715001344,5671729152,5636028416,5607909376,2939,3002,3033,3052,3074,3083,3096,3102,3107,3110,3114,811,748,717,698,676,667,654,648,643,640,636,16.14,111778.2426778243,107437.2759856631
6115,RENGO,6,2017,-70.71814710504333,-34.45488997700593,355943.1,328429.6,383456.6,62284,28515,6742877,2634933,747052,890611,303195,20220,9766.1309,2086396.9,17570,240629960913,104917655552,101747834880,99428835328,97732632576,96406790144,95108341760,94378934272,93595361280,92939583488,92363333632,91838488576,14197,14805,15176,15394,15552,15658,15724,15790,15844,15870,15897,3373,2765,2394,2176,2018,1912,1846,1780,1726,1700,1673,15.68,72849.18549658434,112360.6689246401
6116,REQUINOA,6,2017,-70.65849369444223,-34.33525590707189,393965.9,357144.6,430787.2,34479,10855,3646087,2233140,807820,672362,240700,16240,3223.7866,2086396.9,7590,178658547434,122748821504,120651366400,118889422848,117392146432,116066033664,114616090624,113722327040,112676806656,111681290240,110718910464,109788733440,4899,5076,5236,5343,5403,5461,5499,5529,5549,5565,5580,2691,2514,2354,2247,2187,2129,2091,2061,2041,2025,2010,9.35,80674.15730337078,156752.3680649526
6117,SAN VICENTE,6,2017,-71.12325850841697,-34.47752162872774,423896,383829.3,463962.8,47613,19449,6447724,2862055,628540,804235,358506,1976,7332.4019,2086396.9,14517,233855437350,107274387456,102904365056,99405996032,96550174720,94167982080,91784028160,90423754752,88940257280,87689576448,86615433216,85668372480,10055,10568,10920,11209,11394,11611,11712,11822,11932,12002,12061,4462,3949,3597,3308,3123,2906,2805,2695,2585,2515,2456,15.4,100485.3862212944,123866.5084544646
6201,PICHILEMU,6,2017,-71.91090608223007,-34.38374336383528,447557.3,348998.7,546115.9,14587,6908,7957811,1564476,486055,130019,188390,2716,1546.222,2086396.9,10508,143563926589,80520691712,77994901504,76069945344,74565320704,73338609664,72140791808,71493222400,70802595840,70208544768,69702754304,69272248320,5129,5476,5732,5899,6007,6136,6194,6255,6296,6340,6369,5379,5032,4776,4609,4501,4372,4314,4253,4212,4168,4139,10.6,,210000
6202,LA ESTRELLA,6,2017,-71.60205509232789,-34.22322962694329,325708,293198.5,358217.4,3333,1380,1741322,808545,74140,428630,175418,2288,584.60822,2086396.9,1377,18516277129,12875039744,12482974720,12141623296,11818797056,11503806464,11139739648,10907570176,10632976384,10373818368,10134435840,9915770880,537,575,591,595,598,606,611,622,629,639,650,840,802,786,782,779,771,766,755,748,738,727,17.54,,83486.26198083068
6203,LITUECHE,6,2017,-71.7311560153392,-34.10587966131115,338082.3,299050.4,377114.1,6385,2213,1796114,716431,120842,64257,226647,16804,943.06451,2086396.9,3047,28270612280,18461634560,18178121728,17928048640,17703393280,17499039744,17285435392,17160301568,17026315264,16912989184,16802836480,16700625920,1229,1256,1271,1280,1292,1307,1317,1327,1333,1335,1341,1818,1791,1776,1767,1755,1740,1730,1720,1714,1712,1706,14.77,,154953.7648612946
6204,MARCHIHUE,6,2017,-71.67178966090921,-34.3726998393162,335078.8,305610.3,364547.4,7637,3336,2180165,929980,96307,69885,444382,3016,956.1524,2086396.9,2651,17538879924,6942496768,6780078592,6664804352,6575176192,6500723200,6434016256,6403009536,6375002112,6353641472,6337643008,6325264384,1506,1544,1558,1568,1576,1585,1593,1597,1599,1602,1603,1145,1107,1093,1083,1075,1066,1058,1054,1052,1049,1048,12.52,,101625.8883248731
6205,NAVIDAD,6,2017,-71.82103989017034,-34.01304164670022,308650.7,250127.2,367174.2,5994,1532,4758274,314177,44446,34141,62438,314,1234.764,2086396.9,2687,13597991387,6036556288,5856873472,5719751168,5619514368,5537426944,5463743488,5426294784,5388894720,5356123648,5328411136,5304411136,1298,1318,1340,1355,1361,1372,1378,1382,1384,1387,1387,1389,1369,1347,1332,1326,1315,1309,1305,1303,1300,1300,20.6,,100000
6206,PAREDONES,6,2017,-71.91168359878513,-34.67324587769306,309969.2,269993.5,349944.9,6331,2623,2128037,236419,24538,13839,74725,352,1304.8191,2086396.9,2444,11530614382,3981457920,3849925632,3746872576,3670175232,3607080960,3550809856,3522437888,3493784576,3468641280,3447858176,3427858176,1322,1342,1355,1362,1371,1378,1384,1386,1387,1389,1389,1122,1102,1089,1082,1073,1066,1060,1058,1057,1055,1055,20.61,50000,83894.38943894389
6301,SAN FERNANDO,6,2017,-70.60288056898277,-34.74354679154989,367249.2,347310,387188.4,74435,33510,10539585,6129316,1689681,1751182,612247,81664,7949.6582,2086396.9,28049,635213406690,351588941824,339449839616,329065594880,320420282368,313184387072,306081300480,301915865088,297267363840,293056184320,289326661632,285950803968,18060,18928,19872,20578,21261,21824,22091,22329,22566,22780,22932,9989,9121,8177,7471,6788,6225,5958,5720,5483,5269,5117,10.68,98928.7727539636,129974.6594265028
6302,CHPICA,6,2017,-71.36036771609201,-34.79194945216666,313430.4,283047.1,343813.8,16278,5385,2334230,484624,195003,26992,121270,0,4354.3652,2086396.9,5233,29577371224,5128414208,4725412864,4437054464,4220301824,4043472128,3874843136,3773475072,3660136960,3563486976,3478847232,3405088256,4133,4213,4257,4282,4301,4317,4322,4330,4338,4342,4349,1100,1020,976,951,932,916,911,903,895,891,884,26.75,380000,85721.0401891253
6303,CHIMBARONGO,6,2017,-70.98087214026717,-34.75183374364898,303087.6,283837.5,322337.8,37876,13367,4892205,1870492,545009,425123,198866,2382,8078.9507,2086396.9,10354,87010364761,33001877504,31942481920,31149209600,30505523200,29986220032,29499160576,29223403520,28917460992,28647991296,28412231680,28219944960,7482,7675,7757,7830,7893,7935,7960,7973,7993,8012,8032,2872,2679,2597,2524,2461,2419,2394,2381,2361,2342,2322,21.33,49711.467324291,100457.490864799
6304,LOLOL,6,2017,-71.64886719105529,-34.76801323246171,304480.8,279666.9,329294.7,7053,2599,1669198,467445,84948,223000,72933,2886,1580.5773,2086396.9,2360,14704900040,5447663616,5302631424,5203095552,5131121664,5076515328,5022419968,4995595776,4969644544,4951538688,4938897408,4926897664,1415,1443,1461,1469,1478,1482,1487,1492,1495,1496,1496,945,917,899,891,882,878,873,868,865,864,864,22.41,,138088.8888888889
6305,NANCAGUA,6,2017,-71.19223795915084,-34.66768892892449,351430.7,299322.2,403539.2,17147,6696,3831212,2161281,159679,1495181,216424,3413,2719.5142,2086396.9,5715,38432362986,9883610112,9499651072,9208213504,8987869184,8807318528,8632775680,8531488768,8417295872,8314243584,8222934528,8137092096,4630,4691,4731,4761,4774,4793,4797,4803,4808,4813,4815,1085,1024,984,954,941,922,918,912,907,902,900,15.86,,119905.7287889775
6306,PALMILLA,6,2017,-71.35304600503331,-34.52794494853585,289601.6,269557.5,309645.7,13468,4991,2521970,1181288,202084,429538,299320,1830,2138.7185,2086396.9,3680,28866549957,10129310720,9753063424,9506934784,9323773952,9207207936,9111084032,9061451776,9005314048,8960019456,8918020096,8881033216,2561,2658,2703,2737,2758,2775,2779,2781,2787,2787,2791,1119,1022,977,943,922,905,901,899,893,893,889,15.88,,110865.0519031142
6307,PERALILLO,6,2017,-71.49692422922944,-34.46598663796014,361381.5,325510.1,397252.9,11742,4106,2063610,791734,150307,259127,137773,6469,1561.686,2086396.9,3530,26965288414,8314630656,8002421248,7798492160,7652217856,7546371072,7455266816,7407087104,7353184768,7307188736,7270073856,7242162688,2531,2605,2643,2666,2684,2695,2699,2704,2706,2712,2716,999,925,887,864,846,835,831,826,824,818,814,13.3,,166411.4832535885
6308,PLACILLA,6,2017,-71.08659282664654,-34.61906520022032,337808.7,304839.3,370778.1,9312,3315,1810975,504501,109116,98788,105081,5079,1894.0608,2086396.9,2291,22030070888,9988041728,9671730176,9426536448,9231523840,9071179776,8921960448,8842417152,8756284416,8680351744,8608351232,8539590656,1543,1583,1614,1632,1650,1665,1675,1679,1685,1685,1689,748,708,677,659,641,626,616,612,606,606,602,20.34,,74704.3847241867
6309,PUMANQUE,6,2017,-71.69201293265603,-34.59582120439359,462914.5,303696.3,622132.8,3452,1196,1421236,354471,56718,13229,231990,0,325.52359,2086396.9,921,4712062597,958174080,916169344,886498368,864827776,853394304,841422464,833394304,823394304,815154560,808749696,802749696,637,647,651,656,659,659,659,659,660,661,661,284,274,270,265,262,262,262,262,261,260,260,9.43,,93846.15384615384
6310,SANTA CRUZ,6,2017,-71.40220717111065,-34.64294896633995,433565.7,358911.4,508220,38028,16679,5577862,2983512,667148,642913,283249,2482,6137.7192,2086396.9,13234,266653968756,131175948288,125355466752,120421769216,116030889984,112226615296,108430131200,106212237312,103874437120,102077276160,100639211520,99415785472,7643,8418,8713,8974,9321,9585,9755,10013,10255,10388,10473,5591,4816,4521,4260,3913,3649,3479,3221,2979,2846,2761,16.14,433485.4245880862,236003.7320165813
7101,TALCA,7,2017,-71.60250992411162,-35.42781328178793,494382,437185.2,551578.8,236037,114567,29668013,16874750,4381295,3616650,1541688,1025,33021.578,2086396.9,86292,2178794070334,1140096761856,1078803824640,1032204648448,993280524288,960994148352,928347193344,908894666752,886903406592,868054466560,852553236480,839776206848,40629,49556,54981,57813,60790,63279,64141,65570,67290,68942,69891,45663,36736,31311,28479,25502,23013,22151,20722,19002,17350,16401,13.99,105139.8483216658,162897.2042454051
7102,CONSTITUCIN,7,2017,-72.27614312627199,-35.36323259312531,446332.3,394384.8,498279.9,51031,22093,9735001,2820609,543088,815289,694583,10052,12175.997,2086396.9,15016,257440333327,124280717312,119863443456,116097449984,112867753984,110088708096,107307212800,105709592576,103975927808,102485721088,101213036544,100119322624,10963,11369,11634,11911,12094,12348,12462,12590,12697,12806,12888,4053,3647,3382,3105,2922,2668,2554,2426,2319,2210,2128,23.86,198985.8138138138,206872.1947935368
7103,CUREPTO,7,2017,-71.95317822411182,-35.1300532210924,294719.4,261683.7,327755.2,10732,2970,2665089,394464,75285,114157,93972,5927,2029.4211,2086396.9,2885,14783991971,3676201472,3515760896,3393440000,3300731904,3229989632,3170198528,3133512192,3098217728,3068217856,3040330496,3020330496,2259,2291,2303,2314,2330,2333,2337,2342,2342,2347,2347,626,594,582,571,555,552,548,543,543,538,538,18.91,,108289.4736842105
7104,EMPEDRADO,7,2017,-72.28459472880741,-35.6133465410296,310052.8,270235.1,349870.4,4476,1394,1770620,194026,35746,5948,74615,4233,1126.1616,2086396.9,1045,7748292249,1134617856,1039935232,964438912,900559168,847785408,792741056,758057088,717999296,683599680,653087552,628687872,888,900,906,912,917,919,920,923,924,928,929,157,145,139,133,128,126,125,122,121,117,116,25.16,,98812.78538812786
7105,MAULE,7,2017,-71.71347634332658,-35.50882335987217,277760.3,248511.3,307009.3,57427,9331,4313056,1229284,190186,281352,373098,23232,10118.638,2086396.9,15379,95781432105,19244421120,18920544256,18629556224,18364747776,18121314304,17868269568,17721972736,17559160832,17411022848,17287895040,17175459840,14147,14175,14185,14197,14210,14231,14237,14248,14256,14266,14270,1232,1204,1194,1182,1169,1148,1142,1131,1123,1113,1109,17.62,121126.5164644714,123054.2264752791
7107,PENCAHUE,7,2017,-71.81658057075161,-35.32752319940931,327497.2,266274.6,388719.7,8834,3773,2017888,775855,263178,47356,278535,15776,1854.2566,2086396.9,2076,14895613573,7453462016,7183333888,6933955584,6698692096,6477468160,6230825984,6085691392,5923124224,5773530624,5639232000,5519025664,1402,1410,1419,1427,1431,1442,1456,1461,1469,1477,1483,674,666,657,649,645,634,620,615,607,599,593,20.99,,91189.90384615384
7108,RO CLARO,7,2017,-71.27063214285658,-35.25994787692749,294027.6,265169.9,322885.3,13497,4879,3071140,1597528,200509,122843,320667,3365,1511.6639,2086396.9,3430,13724032701,3325009408,3266299136,3233496576,3206189312,3181784064,3153730304,3137750016,3120398848,3104398848,3091585024,3080216320,2707,2724,2730,2732,2733,2734,2736,2737,2737,2739,2740,723,706,700,698,697,696,694,693,693,691,690,11.2,,72847.6821192053
7109,SAN CLEMENTE,7,2017,-70.84846525862294,-35.71198871321773,253655.2,229992.3,277318,41916,14956,6553990,2245099,571693,525469,286121,79016,9753.8535,2086396.9,12000,85313524312,26915328000,26287579136,25832413184,25469837312,25171171328,24894447616,24749651968,24597022720,24461479936,24338272256,24227612672,9576,9684,9748,9783,9812,9847,9866,9875,9881,9889,9897,2424,2316,2252,2217,2188,2153,2134,2125,2119,2111,2103,23.27,56000,138493.4756820878
7110,SAN RAFAEL,7,2017,-71.5010953302627,-35.30231136301092,362604.6,282694,442515.2,10045,3191,1923587,619070,85708,126789,137283,139,2414.8181,2086396.9,2214,13712046360,4030833664,3913857280,3838363904,3792512512,3760353024,3737484800,3727355648,3718578688,3712476160,3706476032,3700591104,1970,1991,2009,2020,2027,2032,2035,2036,2037,2037,2038,244,223,205,194,187,182,179,178,177,177,176,24.04,,105454.5454545455
7201,CAUQUENES,7,2017,-72.28097550317861,-35.971225581938,369091.4,300135.4,438047.4,40135,15820,6104161,1613641,422038,157584,261739,7250,11418.407,2086396.9,15470,176246997815,58380500992,55084822528,52424114176,50208722944,48373460992,46573101056,45568802816,44502155264,43604795392,42825785344,42143076352,12578,12965,13229,13423,13598,13762,13851,13945,14015,14071,14117,2892,2505,2241,2047,1872,1708,1619,1525,1455,1399,1353,28.45,75943.91891891892,103063.0816959669
7202,CHANCO,7,2017,-72.48581190344429,-35.69876580359607,305474.9,266795.1,344154.8,8958,3198,2172106,305922,52891,17812,97814,6948,1907.1582,2086396.9,2288,16581575297,3953315328,3682664192,3482067968,3329083648,3208829952,3092251904,3028595712,2970364160,2926009600,2888539392,2860441088,1570,1612,1637,1659,1674,1683,1691,1701,1706,1710,1714,718,676,651,629,614,605,597,587,582,578,574,21.29,,85931.03448275862
7203,PELLUHUE,7,2017,-72.6082494902976,-35.91148176454897,293363,228658.7,358067.3,7745,2953,3432414,543485,139428,41507,138057,445,1195.828,2086396.9,5343,56682256309,28836317184,27312056320,26103074816,25177518080,24437835776,23747244032,23390511104,23013390336,22705262592,22451986432,22233442304,2283,2455,2623,2727,2810,2894,2934,2971,3003,3025,3039,3060,2888,2720,2616,2533,2449,2409,2372,2340,2318,2304,15.44,80006,81741.57303370787
7301,CURIC,7,2017,-70.89550828137639,-35.19914639388053,432112.1,384382.3,479842,146612,62879,18156523,9288017,2291602,3025621,1080032,19744,22607.57,2086396.9,54824,989624501039,520307343360,503704190976,489860923392,478003757056,467586023424,457461366784,451612409856,444949135360,438981525504,433615503360,428773113856,39033,40951,42122,42786,43716,44613,44915,45260,45588,45866,46099,15791,13873,12702,12038,11108,10211,9909,9564,9236,8958,8725,15.42,102148.0913898627,155731.0969690433
7302,HUALA,7,2017,-71.70904287701764,-34.95287011718379,416608.1,363762.7,469453.5,10204,3207,2194858,562705,84266,49802,170374,0,1611.2115,2086396.9,3716,24343232343,6093860352,5814375424,5627374080,5492342784,5391919616,5301310976,5252089344,5197121536,5150551040,5108962304,5072408576,2782,2847,2884,2901,2917,2926,2930,2934,2937,2939,2941,934,869,832,815,799,790,786,782,779,777,775,15.79,181844.6601941748,86617.1003717472
7303,LICANTN,7,2017,-72.0596938714568,-34.97360370005418,387785,322019.7,453550.2,7249,2521,2452648,598797,101085,71475,212576,2849,1636.0992,2086396.9,3470,44402682033,25243598848,24665575424,24218673152,23858683904,23550287872,23245727744,23076055040,22883674112,22714572800,22557083648,22411163648,1855,1936,1988,2018,2041,2072,2083,2093,2102,2108,2113,1615,1534,1482,1452,1429,1398,1387,1377,1368,1362,1357,22.57,,106969.696969697
7304,MOLINA,7,2017,-70.91035403114921,-35.35275376333996,366217.8,324394.1,408041.6,42531,16309,6039686,2066801,569601,827645,218205,9755,10215.946,2086396.9,15356,171381755246,74940399616,73269141504,71932329984,70824501248,69926281216,69040242688,68548026368,68007190528,67537489920,67149545472,66817179648,13017,13239,13367,13477,13568,13657,13687,13727,13766,13800,13824,2339,2117,1989,1879,1788,1699,1669,1629,1590,1556,1532,24.02,36281.67388167388,90934.36738090286
7305,RAUCO,7,2017,-71.42678117389377,-34.93868594242745,294639.9,266118.3,323161.5,10182,3758,2276541,817208,86600,62524,396101,344,1848.033,2086396.9,3113,20242270692,4938691072,4670399488,4438650368,4243031040,4076721664,3909828608,3819153664,3725099008,3642805760,3568271616,3502895872,2585,2606,2623,2639,2653,2668,2678,2687,2690,2695,2701,528,507,490,474,460,445,435,426,423,418,412,18.15,63000,88852.30813124108
7306,ROMERAL,7,2017,-70.71192039016665,-35.06803985138593,337444.2,301674.7,373213.7,15351,5982,2902922,1660248,342531,491147,356286,35251,2537.5203,2086396.9,4091,71625768863,49077444608,48532922368,48090349568,47717433344,47405371392,47083610112,46898880512,46685753344,46491369472,46317408256,46152863744,2949,3000,3044,3076,3103,3121,3137,3144,3154,3161,3166,1142,1091,1047,1015,988,970,954,947,937,930,925,16.53,54137.93103448276,82201.80168067227
7307,SAGRADA FAMILIA,7,2017,-71.49580706461109,-35.10393751879555,342215.6,290230.8,394200.4,19655,7172,3741850,1793325,360584,653374,246813,1557,5798.2251,2086396.9,5138,45402634759,25376104448,25137311744,24945936384,24795838464,24669726720,24542130176,24465682432,24385265664,24310069248,24246001664,24189427712,3929,3959,3980,3996,4008,4014,4020,4025,4030,4033,4037,1209,1179,1158,1142,1130,1124,1118,1113,1108,1105,1101,29.5,,96449.86449864498
7308,TENO,7,2017,-71.02212394571022,-34.88797906877441,358349.3,329110.8,387587.8,28661,12001,3667687,1557367,537985,368913,213257,3986,4932.5581,2086396.9,6724,91702649682,61203054592,60856291328,60585398272,60385980416,60239130624,60105662464,60035334144,59963301888,59907272704,59866206208,59834458112,5484,5528,5566,5598,5616,5634,5641,5648,5657,5663,5667,1240,1196,1158,1126,1108,1090,1083,1076,1067,1061,1057,17.21,114445.8930899609,108391.0696761531
7309,VICHUQUN,7,2017,-72.02310881984988,-34.84108477329158,429482.4,236261.2,622703.6,5118,1424,2402587,1372561,287070,394313,473739,0,1295.8776,2086396.9,3138,84282108472,66213421056,64665456640,63237165056,61904785408,60639895552,59186434048,58243006464,57115746304,56049561600,55047118848,54089375744,1117,1179,1236,1281,1303,1329,1348,1379,1408,1435,1455,2021,1959,1902,1857,1835,1809,1790,1759,1730,1703,1683,25.32,,104047.6190476191
7401,LINARES,7,2017,-71.33291856127818,-35.95845282500601,356301.8,324262.4,388341.2,91303,38921,11272709,4495619,1086749,1068134,644649,20032,13631.538,2086396.9,32395,569570564029,267342512128,253516267520,242900713472,234533961728,227827220480,221524066304,218090651648,214578331648,211636338688,209169465344,207103410176,20939,22803,24094,25096,25818,26498,26882,27194,27436,27680,27849,11456,9592,8301,7299,6577,5897,5513,5201,4959,4715,4546,14.93,110782.4531516184,116700.9767554815
7402,COLBN,7,2017,-70.9788150531009,-36.0770931203383,323203.8,236240.6,410167.1,19530,6896,3869161,1256265,282570,427179,133177,51883,3882.564,2086396.9,6156,54851353804,28717131776,28134778880,27672139776,27293759488,26953947136,26592696320,26380853248,26139502592,25936046080,25762883584,25619302400,4373,4458,4500,4532,4547,4569,4581,4597,4617,4628,4645,1783,1698,1656,1624,1609,1587,1575,1559,1539,1528,1511,19.88,200000,84555.81395348837
